2.5;2.5159932509308764 / 0.004718692448801853;2.4601711332491667 / 0.0043960359547789984;2.3892114133109574 / 0.0031259228666895567
12.894736842105264;12.981162294413098 / 0.01748715560040104;13.040691495844202 / 0.017643568872911075;12.851387420284999 / 0.027125711697287613
23.289473684210527;23.056419511656962 / 0.020617702599391663;23.941421459474512 / 0.012410757160409958;24.079152499941003 / 0.010246665985942371
33.684210526315795;25.607008878869838 / 0.03278644533761721;34.19182814520133 / 0.03133058785827103;33.5099172296747 / 0.022609365962935613
44.078947368421055;25.415086969432654 / 0.08006558804608233;43.19995786239737 / 0.023393837766882086;43.38740163379778 / 0.021239453474457548
54.473684210526315;27.15633925990883 / 0.0497185279671335;48.044377896439826 / 0.02369131058368623;55.17733109537525 / 0.018501962356836543
64.86842105263158;26.808830977225394 / 0.02764805270205528;51.794156424762534 / 0.016389808112791115;65.92922046519845 / 0.012807310337080935
75.26315789473684;24.565766726826325 / 0.030269433211312702;52.887254596571594 / 0.06474244685827557;73.38966106410525 / 0.0537358016721754
85.6578947368421;27.783826128362755 / 0.012681778839496616;48.70640629149327 / 0.029958301220482042;73.98113051360897 / 0.02797168015790419
96.05263157894736;24.5457437306541 / 0.025427151074545407;51.17515045231613 / 0.06921412658505233;72.71376036056546 / 0.0502111560695937
106.44736842105262;27.382801586675672 / 0.06858595931248246;49.800306496875535 / 0.026980165328751582;75.09299867678911 / 0.028318873209713047
116.84210526315788;25.51852374987996 / 0.027379638620772084;51.816689072263905 / 0.03239730882071967;76.25329264246719 / 0.032320671604708195
127.23684210526314;25.941344668641968 / 0.057351837096408786;51.93269330605683 / 0.030372259704847693;75.43262691384501 / 0.026204159811726413
137.6315789473684;26.294798936899653 / 0.016154559307260286;53.20918548196567 / 0.030158426731674126;75.34822122102585 / 0.021730682592917105
148.02631578947367;26.216135998574806 / 0.021591678573468442;51.90840967243896 / 0.05067552614568882;77.00109698445452 / 0.03140907106570978
158.42105263157893;27.254800800395714 / 0.026162165645455815;54.2506827049026 / 0.06663113551852007;79.9016395024352 / 0.023643600365318207
168.8157894736842;25.740713586404937 / 0.018068497961159835;50.02862900849537 / 0.035792485676935826;75.77149160501064 / 0.045136945449698374
179.21052631578945;25.528480391442486 / 0.029870051922710417;53.35408660725579 / 0.051033554720675056;76.08229150711115 / 0.02398740453381265
189.6052631578947;27.205856684749797 / 0.021467761989157452;51.76940099975338 / 0.035844270425194225;73.03996380950474 / 0.02677808939634474
199.99999999999997;26.894423101320815 / 0.054054248397847005;49.99804491381467 / 0.025513934370380298;77.75996125659115 / 0.07911400277801306
