2.5;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
12.894736842105264;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
23.289473684210527;0.0 / 0.0;0.0 / 0.0;0.0 / 0.0
33.684210526315795;30.987364764845967 / 1.1635375220074415;0.0 / 0.0;0.0 / 0.0
44.078947368421055;68.03176382801963 / 0.5101111672168912;0.0 / 0.0;0.0 / 0.0
54.473684210526315;79.38334221831198 / 0.32252170088020193;0.3132644035955588 / 0.08703878568711093;0.0 / 0.0
64.86842105263158;85.26256693731877 / 0.22554834991397854;55.935225177806636 / 0.4274842553862328;0.0 / 0.0
75.26315789473684;87.42567878521602 / 0.1909901973260162;72.46125273701116 / 0.2643800283256894;0.0 / 0.0
85.6578947368421;90.13076704893076 / 0.15118924523709154;79.45114320586949 / 0.19212115178696365;39.45909401702391 / 0.40537496268066775
96.05263157894736;90.98382099492837 / 0.1300425603578077;84.68405584812376 / 0.13858846840106764;63.819334022969215 / 0.250740713414487
106.44736842105262;91.95201416797289 / 0.11311297246916752;87.7928056294117 / 0.10914643095361498;75.57078574511432 / 0.15563019798703692
116.84210526315788;93.32335882785347 / 0.09424843897805602;89.53267146653117 / 0.09087338886924101;82.49512310040247 / 0.11576258201881728
127.23684210526314;93.78623389290692 / 0.08458547324403298;90.81198584984152 / 0.08100613278426749;87.55780635480023 / 0.07918026461830152
137.6315789473684;94.23470330612194 / 0.07547094647681263;92.13976548930634 / 0.06871645002834725;89.37211147321956 / 0.06669791259368196
148.02631578947367;94.63875067728931 / 0.06934042306843935;92.48644042934944 / 0.06301583043463665;90.10128242786249 / 0.06136392615870534
158.42105263157893;95.10375660351565 / 0.06383214225186862;93.56507624068722 / 0.05440855546395085;91.07589516869517 / 0.05576675210346593
168.8157894736842;95.42745258527009 / 0.05702435134509187;94.04811835527074 / 0.05069929156809394;92.37669236363837 / 0.04793917218184163
179.21052631578945;95.64546763292317 / 0.053716627218420854;94.63982062145823 / 0.044746458634648434;92.71189495272179 / 0.04374635402240301
189.6052631578947;95.82578698522795 / 0.05068044582773723;95.05445362937125 / 0.0407957403027126;93.64422268863035 / 0.038910733949265364
199.99999999999997;96.11034930024674 / 0.04671678767537912;95.22965790053073 / 0.03918045960482175;94.35071652775592 / 0.035160694420639516
